Time,X,Y,Z,Start
102.337514,137,115,149,1
102.377653,139,116,147,0
102.417799,140,116,149,0
102.457961,137,116,150,0
102.498104,140,116,149,0
102.538256,140,116,148,0
102.578414,138,115,151,0
102.618548,138,115,147,0
102.658691,140,115,147,0
102.698834,140,114,148,0
102.738971,141,113,147,0
102.779114,142,112,146,0
102.819256,143,111,147,0
102.859391,141,110,149,0
102.899632,142,111,149,0
102.939788,144,112,146,0
102.979956,141,114,148,0
103.020095,140,114,147,0
103.060247,140,117,152,0
103.100387,143,116,147,0
103.14053,140,114,146,0
103.180682,141,114,145,0
103.220819,144,117,146,0
103.260967,138,115,146,0
103.301131,137,113,144,0
103.341272,139,111,143,0
103.381419,139,110,145,0
103.421577,136,110,146,0
103.461716,136,110,144,0
103.501864,139,111,143,0
103.542022,134,110,144,0
103.582156,134,111,141,0
103.622299,132,112,141,0
103.662439,129,113,138,0
103.702574,128,115,137,0
103.74271,128,117,135,0
103.78286,127,120,136,0
103.822998,126,125,137,0
103.86314,124,132,137,0
103.903293,116,136,139,0
103.943437,115,144,147,0
103.983586,126,166,153,0
104.023743,110,206,153,0
104.063884,62,240,165,0
104.104024,8,248,153,0
104.144181,44,250,205,0
104.184325,63,251,247,0
104.224481,221,252,250,0
104.264643,201,183,168,0
104.304782,235,171,128,0
104.344927,180,141,128,0
104.385082,167,124,127,0
104.425218,154,113,139,0
104.465369,149,113,136,0
104.505526,154,111,141,0
104.545667,156,113,136,0
104.585811,138,114,145,0
104.625949,149,112,138,0
104.666083,138,115,146,0
104.706218,152,115,139,0
104.746353,149,116,146,0
104.786489,146,118,149,0
104.826647,151,119,141,0
104.866821,150,120,145,0
104.906958,149,121,145,0
104.947109,151,123,143,0
104.987261,151,123,145,0
105.027399,150,125,144,0
105.067547,148,126,146,0
105.107709,147,129,142,0
105.147847,151,134,143,0
105.187994,152,138,142,0
105.228153,145,144,150,0
105.268294,149,144,157,0
105.308402,165,149,162,0
105.348557,156,149,169,0
105.38869,145,145,168,0
105.428831,129,142,178,0
105.468979,131,143,169,0
105.509111,136,140,167,0
105.54925,137,141,164,0
105.589395,137,139,163,0
105.629528,138,138,158,0
105.669667,133,135,158,0
105.709802,130,132,158,0
105.749932,133,129,157,0
105.790066,133,129,153,0
105.830203,132,125,157,0
105.870336,132,125,152,0
105.91047,132,125,150,0
105.950622,132,123,151,0
105.990757,129,121,151,0
106.030902,132,122,149,0
106.071058,128,120,153,0
106.11119,128,121,149,0
106.151331,130,121,147,0
106.19148,124,119,150,0
106.231617,125,120,149,0
106.271765,124,120,147,0
106.311914,123,119,149,0
106.352046,123,119,151,0
106.392195,122,120,150,0
106.432353,121,119,148,0
106.472497,121,119,150,0
106.512636,123,118,152,0
106.552789,122,117,154,0
106.592925,123,117,153,0
106.633075,122,116,150,0
106.673212,122,114,151,0
106.713347,125,119,153,0
106.753485,121,123,151,0
106.793618,127,127,150,0
106.833749,134,134,145,0
106.873891,130,143,142,0
106.914044,106,155,136,0
106.954181,101,171,150,0
106.994328,95,198,150,0
107.034484,79,239,137,0
107.074615,83,249,110,0
107.114754,14,250,239,1
107.154901,22,252,248,0
107.195033,234,252,184,0
107.235178,245,196,152,0
107.275329,152,155,145,0
107.315463,132,125,127,0
107.355603,148,118,138,0
107.395753,146,120,123,0
107.435891,150,119,127,0
107.476036,173,118,128,0
107.516193,149,117,142,0
107.556326,158,114,135,0
107.596487,151,115,142,0
107.636751,145,116,145,0
107.676881,151,120,140,0
107.717017,148,122,148,0
107.757151,143,121,144,0
107.797281,150,124,143,0
107.837419,154,126,147,0
107.877565,148,127,147,0
107.917697,149,129,147,0
107.957829,147,129,157,0
107.997976,146,131,153,0
108.038108,141,135,153,0
108.078245,139,136,155,0
108.118389,138,136,167,0
108.158521,140,138,157,0
108.19866,148,139,146,0
108.238807,146,141,154,0
108.278937,144,140,160,0
108.319083,146,142,157,0
108.359237,130,139,167,0
108.399372,127,139,157,0
